GEO_ID,Total Population,White Population,Black Population,American Indian Population,Asian Population,Native Hawaiian and Other Pacific Islander Population,Hispanic or Latino Population,Some other race,Year
371190056182,1507,186,1086,69,51,0,26,89,2020
371190056191,2764,643,1555,0,117,0,371,78,2020
371190056192,2003,736,1046,3,13,0,149,56,2020
371190056211,3249,1978,776,9,143,0,249,94,2020
371190056212,848,328,322,0,23,0,163,12,2020
371190056213,1004,458,514,0,6,0,8,18,2020
371190056221,768,381,326,0,19,0,20,22,2020
371190056222,1544,484,557,0,21,0,273,209,2020
371190056231,2422,449,1671,0,113,0,166,23,2020
371190056232,1561,433,676,0,177,0,128,147,2020
371190056241,2176,527,1275,0,99,0,186,89,2020
371190056251,3901,913,2230,0,111,21,241,385,2020
371190056252,2735,590,1647,0,261,0,211,26,2020
371190056261,3319,622,1950,0,36,0,524,187,2020
371190056271,1832,347,1077,0,59,0,305,44,2020
371190056272,2834,636,1485,0,11,0,642,60,2020
371190056273,2565,929,1429,100,24,0,66,17,2020
371190057091,2485,1680,717,0,36,0,24,28,2020
371190057092,2731,1806,315,18,255,0,262,75,2020
371190057101,2031,886,395,0,152,0,560,38,2020
371190057102,2614,804,1111,0,67,0,517,115,2020
371190057121,2706,2218,190,18,22,0,128,130,2020
371190057122,1335,1202,0,0,23,0,110,0,2020
371190057131,2373,1888,269,0,140,0,23,53,2020
371190057132,1990,1656,45,0,0,0,276,13,2020
371190057141,2754,2193,476,0,45,0,39,1,2020
371190057142,1837,1449,107,0,176,0,13,92,2020
371190057143,1650,1505,0,0,80,0,13,52,2020
371190057151,2523,1925,252,0,10,0,325,11,2020
371190057161,2109,1398,168,0,190,0,321,32,2020
371190057162,4063,728,1647,42,134,0,1452,60,2020
371190057181,1772,1110,565,0,0,0,97,0,2020
371190057182,2063,1028,451,0,113,0,339,132,2020
371190057191,2021,1488,263,0,37,0,197,36,2020
371190057192,1588,1280,164,0,133,0,11,0,2020
371190057201,2228,1733,190,0,264,0,20,21,2020
371190057211,382,322,8,0,15,0,0,37,2020
371190057212,3672,3258,259,0,67,0,88,0,2020
371190057221,2667,1546,552,19,145,0,324,81,2020
371190057231,2248,737,707,25,438,0,303,38,2020
371190057232,1295,550,328,19,169,0,185,44,2020
371190058111,2047,1445,71,0,164,0,332,35,2020
371190058112,618,376,173,0,36,0,20,13,2020
371190058113,1650,1256,84,0,90,0,197,23,2020
371190058151,2944,2220,169,0,294,0,171,90,2020
371190058152,802,630,58,0,7,0,38,69,2020
371190058161,3519,2715,300,0,81,0,353,70,2020
371190058162,1015,630,172,76,29,0,36,72,2020
371190058171,1040,914,11,0,37,0,55,23,2020
371190058172,3350,2594,165,0,462,0,56,73,2020
371190058241,3194,30,1440,0,124,0,1487,113,2020
371190058242,1507,965,159,0,73,0,239,71,2020
371190058261,586,365,8,0,0,0,194,19,2020
371190058262,2693,1106,384,0,73,0,969,161,2020
